Modelo,Recall@10,Recall@50,Recall@100,NDCG@10,NDCG@50,NDCG@100,MRR
Popularidad Global,"3.90% [3.15, 4.70]","13.20% [11.75, 14.60]","21.25% [19.50, 23.05]","0.0206 [0.0159, 0.0253]","0.0405 [0.0348, 0.0460]","0.0535 [0.0477, 0.0589]","0.0219 [0.0176, 0.0263]"
Co-oc conteo (pura),"6.90% [5.80, 8.00]","16.75% [15.10, 18.50]","23.75% [22.00, 25.70]","0.0408 [0.0334, 0.0483]","0.0617 [0.0539, 0.0693]","0.0729 [0.0651, 0.0810]","0.0387 [0.0321, 0.0453]"
Co-oc conteo (+pop),"6.90% [5.80, 8.00]","16.85% [15.15, 18.55]","24.05% [22.30, 26.00]","0.0408 [0.0334, 0.0483]","0.0619 [0.0542, 0.0696]","0.0734 [0.0655, 0.0815]","0.0389 [0.0324, 0.0455]"
Co-oc coseno (pura),"5.85% [4.80, 6.85]","12.45% [10.95, 13.90]","17.90% [16.25, 19.60]","0.0345 [0.0279, 0.0413]","0.0482 [0.0412, 0.0555]","0.0570 [0.0497, 0.0642]","0.0320 [0.0260, 0.0379]"
Co-oc coseno (+pop),"5.85% [4.80, 6.85]","12.55% [11.05, 14.05]","18.20% [16.50, 19.95]","0.0345 [0.0279, 0.0413]","0.0485 [0.0415, 0.0557]","0.0576 [0.0502, 0.0649]","0.0321 [0.0261, 0.0381]"
Co-oc lift (pura),"0.45% [0.20, 0.75]","1.95% [1.40, 2.55]","3.40% [2.65, 4.20]","0.0023 [0.0008, 0.0040]","0.0056 [0.0038, 0.0077]","0.0079 [0.0059, 0.0102]","0.0032 [0.0021, 0.0048]"
Co-oc lift (+pop),"0.45% [0.20, 0.75]","2.05% [1.45, 2.65]","3.70% [2.95, 4.50]","0.0023 [0.0008, 0.0040]","0.0058 [0.0040, 0.0079]","0.0085 [0.0064, 0.0108]","0.0034 [0.0023, 0.0050]"
