batch_size,remove_accidental_hits,dropout,normalize,temperature,mejor_epoca,epocas_corridas,cos_recall10,cos_recall50,cos_recall100,cos_mrr,dot_recall100,minutos,rss_pico_GB
1024,False,0.2,False,,3,5,0.016,0.072,0.1285,0.008320435514956,0.3115,9.6,7.8
1024,False,0.0,False,,4,6,0.0205,0.0955,0.166,0.0097209741449771,0.3235,16.3,7.8
1024,True,0.2,False,,4,6,0.0205,0.1055,0.1805,0.0128053751290328,0.3215,36.9,7.8
1024,True,0.0,False,,3,5,0.033,0.127,0.206,0.0156033698008133,0.314,21.5,7.8
4096,False,0.2,False,,4,6,0.0155,0.067,0.117,0.0093660326465427,0.3195,19.8,7.8
4096,False,0.0,False,,6,8,0.0165,0.0685,0.1275,0.0096212730370836,0.3185,25.4,7.8
4096,True,0.2,False,,4,6,0.0155,0.0685,0.1295,0.008544538192061,0.315,36.6,7.8
4096,True,0.0,False,,4,6,0.0115,0.053,0.0985,0.0073535662167527,0.3165,37.6,7.8
